D0-fm,P15,P20-nr,P20-pr,Regulon
1.499746559,-0.523484915,-0.497628237,-0.478633408,TWIST1 (40g)
1.499551494,-0.530613503,-0.470790357,-0.498147634,ZNF76_extended (13g)
1.499459843,-0.537687542,-0.478728929,-0.483043372,TBX1_extended (12g)
1.499375859,-0.509099724,-0.529533518,-0.460742617,HOXB6 (11g)
1.498783559,-0.512852824,-0.540924295,-0.44500644,NFIC_extended (98g)
1.498242783,-0.506258077,-0.554960534,-0.437024172,EPAS1 (20g)
1.497314403,-0.58042417,-0.478613291,-0.438276942,TWIST2_extended (18g)
1.497074422,-0.584475997,-0.47550911,-0.437089315,ZEB1_extended (124g)
1.495983399,-0.587407448,-0.500282706,-0.408293244,VDR_extended (33g)
1.494446138,-0.405844573,-0.612836326,-0.475765238,BATF3_extended (44g)
1.492797167,-0.517447698,-0.369034093,-0.606315377,GATA5 (12g)
1.492670428,-0.631032034,-0.466338234,-0.39530016,HOXC9_extended (17g)
1.491650075,-0.548522837,-0.59272107,-0.350406168,ELK3 (20g)
1.489190183,-0.331071037,-0.611344175,-0.546774971,CEBPD (178g)
1.48796884,-0.674696327,-0.410344916,-0.402927597,FOS_extended (22g)
1.48661431,-0.681712114,-0.376831645,-0.428070551,FLI1 (11g)
1.486136155,-0.574005933,-0.607600169,-0.304530053,TBX2_extended (16g)
1.484484269,-0.693801108,-0.42966758,-0.361015581,MXD1_extended (17g)
1.483478495,-0.699543112,-0.355542095,-0.428393288,KLF10_extended (52g)
1.483366882,-0.632497585,-0.562511666,-0.288357631,MXD3_extended (18g)
1.482353932,-0.277874958,-0.598529368,-0.605949606,SNAI1_extended (22g)
1.479804418,-0.264901329,-0.57573867,-0.63916442,STAT1 (102g)
1.477840482,-0.251653644,-0.634198778,-0.59198806,HOXA3 (38g)
1.476150685,-0.741162771,-0.395362264,-0.33962565,ETS1_extended (29g)
1.475925669,-0.413646012,-0.32338834,-0.738891317,SP6_extended (18g)
1.474660845,-0.666829036,-0.238963925,-0.568867885,SP8_extended (130g)
1.473112724,-0.613412779,-0.634937355,-0.22476259,RARG (23g)
1.471922574,-0.677833176,-0.568358938,-0.22573046,ZNF316 (39g)
1.469949224,-0.769902945,-0.377100213,-0.322946067,ZBTB49 (11g)
1.469514083,-0.773468988,-0.343857478,-0.352187617,JDP2_extended (18g)
1.465785218,-0.648924475,-0.62836216,-0.188498583,ZFY_extended (18g)
1.462829267,-0.431544967,-0.782218428,-0.249065872,ZNF143_extended (58g)
1.460974651,-0.264781614,-0.398090425,-0.798102612,HSF2_extended (14g)
1.460841377,-0.186217059,-0.734605791,-0.540018527,HOXA9 (38g)
1.460575061,-0.465394596,-0.775921225,-0.21925924,E2F6 (18g)
1.457588193,-0.259265362,-0.386759289,-0.811563542,KLF13_extended (15g)
1.456753444,-0.235957568,-0.806640317,-0.414155559,PPARG_extended (61g)
1.45648752,-0.812584593,-0.396264626,-0.247638301,NFATC2 (11g)
1.455797733,-0.217465144,-0.801687622,-0.436644967,FOXP2_extended (319g)
1.453409839,-0.157839053,-0.756032429,-0.539538357,REL_extended (39g)
1.453013025,-0.758284887,-0.537671169,-0.157056969,TEAD2_extended (96g)
1.451616338,-0.818772026,-0.211121597,-0.421722715,MNX1 (10g)
1.447308915,-0.842087311,-0.221866547,-0.383355057,JUN (79g)
1.442894776,-0.645225584,-0.701820191,-0.095849002,PPARA (156g)
1.440249431,-0.46287847,-0.830590511,-0.14678045,ZNF704 (190g)
1.435290283,-0.887234158,-0.309906986,-0.238149139,EGR1 (26g)
1.427323899,-0.867265263,-0.116071073,-0.443987563,MEIS3 (21g)
1.413128867,-0.910400254,-0.406073959,-0.096654654,ZNF740_extended (17g)
1.412616881,-0.267973273,-0.944880108,-0.1997635,MECOM (33g)
1.411330281,-0.94829492,-0.202511559,-0.260523802,STAT2_extended (25g)
-0.448949551,-0.593877349,1.496608308,-0.453781408,NFKB2 (48g)
-0.53908953,-0.622799576,1.488278565,-0.326389459,MYBL2 (12g)
-0.484847136,-0.672103755,1.485098883,-0.328147991,TFAP2C_extended (10g)
-0.251709837,-0.583819373,1.477656714,-0.642127504,TFCP2L1_extended (33g)
-0.332546529,-0.773999143,1.469274056,-0.362728384,KLF5_extended (322g)
-0.46286959,-0.781868042,1.458953606,-0.214215974,E2F4_extended (38g)
-0.260827789,-0.867946814,1.442331246,-0.313556643,E4F1 (52g)
-1.011808321,-0.153120502,1.380671293,-0.215742471,CEBPZ_extended (504g)
-0.323288134,-1.011422959,1.367991518,-0.033280425,NANOG (40g)
-0.262015274,-1.026826762,1.367752858,-0.078910822,ZNF345_extended (10g)
0.05242068,-0.97999228,1.360076118,-0.432504517,SREBF1 (83g)
-0.165441731,-1.0747512,1.344147444,-0.103954512,KLF11_extended (17g)
-0.665754352,-0.852297542,1.34131422,0.176737674,SNAI3_extended (20g)
-0.125404538,-1.08107676,1.340718845,-0.134237548,NR2C1_extended (13g)
0.184812625,-0.87440278,1.335627248,-0.646037093,ELK1 (24g)
-0.131890777,-1.08974501,1.334994542,-0.113358755,MAZ (51g)
-0.586000838,-0.93416785,1.320654155,0.199514533,STAT6 (11g)
-0.510946867,-0.998387451,1.30380774,0.205526578,ZNF676 (13g)
0.220254451,-1.009293554,1.294942548,-0.505903446,KLF16_extended (91g)
0.000750869,-1.151965152,1.28635624,-0.135141957,REST (27g)
-1.233469233,0.068975553,1.213029393,-0.048535713,TRIM28_extended (16g)
-0.260931427,-1.192074344,1.203609092,0.249396679,MAX (66g)
0.435107852,-0.63746391,1.192930504,-0.990574446,GRHL1 (18g)
-0.414033555,-1.144094596,1.170051353,0.388076797,MAFK_extended (18g)
-0.183265684,-1.241005003,1.166033336,0.258237351,RCOR1_extended (51g)
-0.135363523,-1.254158563,1.165599233,0.223922852,SOX15 (23g)
-0.720364636,-0.942378405,1.155902354,0.506840687,MTA3_extended (12g)
-0.822877106,-0.854214504,1.144219418,0.532872192,FOXJ2_extended (14g)
0.316649349,-1.283187662,1.110191982,-0.143653668,BCL3 (41g)
0.197509354,-1.320172337,1.10352563,0.019137354,ZNF778 (20g)
-0.318223003,-1.221169902,1.103322691,0.436070214,ELF2 (161g)
-0.250766048,-1.253813552,1.093748495,0.410831105,GTF3C2 (101g)
0.422231287,-1.257028789,1.085663642,-0.25086614,RXRA (27g)
0.645253312,-1.099764015,1.024399405,-0.569888702,ESRRA (22g)
-0.122568702,-1.327829919,1.016761086,0.433637535,ELF3 (45g)
-0.732729667,0.696670725,1.012289752,-0.976230809,MAFG (15g)
0.063995604,0.304869727,1.006140347,-1.375005678,DLX5_extended (58g)
0.692356142,-1.033128411,1.005618374,-0.664846106,ATF6B_extended (38g)
0.675295163,-0.558930217,0.996522001,-1.112886947,DDIT3 (17g)
-0.235622221,-1.298143286,0.970706036,0.563059471,ERF (10g)
0.363526588,-1.388390561,0.967979453,0.05688452,NFYA (31g)
0.276705539,-1.405629212,0.958420104,0.170503569,HOXB2 (56g)
-1.39818186,0.079173302,0.950130574,0.368877983,DLX6 (77g)
0.149390807,-1.416986964,0.922268461,0.345327696,TAF1 (66g)
0.093315355,-1.410244211,0.918611217,0.39831764,HOXC6_extended (24g)
0.596583299,-1.35626615,0.88781361,-0.128130759,KLF3_extended (182g)
-0.145958685,-1.350363196,0.881812944,0.614508937,ZNF141 (10g)
0.224814427,-1.43818527,0.875894634,0.33747621,RFXANK_extended (67g)
-0.757977328,-0.967532469,0.844599128,0.880910668,BRCA1 (31g)
-0.208839212,0.709568427,0.828415713,-1.329144928,ZBTB40 (11g)
-0.61667546,-0.376950413,-0.499172399,1.492798272,TCF7L2 (13g)
-0.421717751,-0.643247987,-0.427024858,1.491990595,PBX1 (26g)
-0.255056604,-0.74743891,-0.466683692,1.469179205,PRDM5 (12g)
-0.184512251,-0.737257448,-0.538509216,1.460278915,TCF4_extended (61g)
-0.343082049,-0.835269732,-0.274062988,1.452414769,TCF7L1 (21g)
-0.311856974,-0.863066642,-0.269170683,1.444094299,RARA_extended (12g)
-0.82186272,-0.508363692,-0.103442866,1.433669278,SOX2 (168g)
-0.426736399,-0.913829721,-0.066009179,1.4065753,BCL11A (55g)
-0.454846311,-0.911573169,-0.033936721,1.400356201,FOXM1 (18g)
-0.192500007,-0.988852195,-0.211607693,1.392959895,CREBL2_extended (11g)
-0.57780576,-0.92847632,0.174509302,1.331772777,FOXN3_extended (36g)
-0.480548561,-0.9943285,0.148901046,1.325976015,BPTF (58g)
-0.062921972,-1.128995066,-0.115054087,1.306971126,SOX13 (46g)
-0.452322648,-1.047476559,0.214409991,1.285389216,PKNOX1_extended (45g)
-1.07184365,-0.451172491,0.267642963,1.255373178,POU5F1 (57g)
-0.940925639,0.363787151,-0.664261652,1.24140014,GATA2 (25g)
-0.65950619,-0.947285643,0.369338604,1.237453228,E2F8 (38g)
-0.061075165,-1.220696294,0.055778328,1.225993132,E2F2 (53g)
-0.221667482,-1.193008176,0.194043853,1.220631805,PBX3_extended (328g)
-0.220175437,-1.239093421,0.310446242,1.148822616,SIN3A_extended (65g)
0.409017136,-1.197534967,-0.343214745,1.131732576,ETV5_extended (23g)
-0.247007076,-1.238643616,0.354772187,1.130878505,E2F3 (708g)
-0.335041951,-1.214010563,0.447308137,1.101744378,CUX1 (1538g)
0.592675434,-0.984257729,-0.699559121,1.091141416,FOXO1_extended (34g)
0.622204058,-0.965329463,-0.729029773,1.072155179,FOXP1 (27g)
0.467124013,-1.273523842,-0.24286194,1.049261769,ZNF250 (21g)
0.658922328,-0.671929119,-1.02166197,1.034668761,LEF1 (24g)
0.627476285,-0.512194614,-1.138678591,1.02339692,TFAP4 (17g)
-0.487829327,-1.154220909,0.618995228,1.023055008,E2F7 (186g)
0.664516423,-1.056959983,-0.629686067,1.022129627,STAT3 (18g)
0.51349892,-1.311681313,-0.191359237,0.989541629,ZNF274 (42g)
0.214292933,-1.392723437,0.189183541,0.989246963,SP3_extended (145g)
0.192011971,-1.398118105,0.228185648,0.977920486,TBPL1 (13g)
-0.189394566,-1.316350798,0.531834534,0.97391083,ELK4 (37g)
-0.364336529,-1.235655177,0.626173459,0.973818247,SREBF2 (878g)
-0.783474616,-0.938555122,0.754740228,0.96728951,EZH2_extended (579g)
-0.227080163,-1.305106811,0.577238585,0.95494839,TEAD4 (20g)
0.415845388,-1.391779826,0.033105968,0.94282847,ZNF148_extended (38g)
-0.323849763,-1.26339247,0.653457204,0.933785029,CTCF_extended (604g)
-0.798369181,-0.928666116,0.796957763,0.930077534,TFDP1 (338g)
-0.189467422,-1.325691706,0.586129851,0.929029276,SP4 (30g)
0.79955864,-0.686711019,-1.026672919,0.913825298,HMGA2 (323g)
-0.717111235,-1.002104942,0.81668356,0.902532617,E2F1 (153g)
0.346758206,-1.45711578,0.290485211,0.819872363,BRF1_extended (111g)
-0.291319935,-1.289768547,0.761309002,0.81977948,CDX1 (27g)
-0.354538501,-1.255961762,0.807114723,0.803385541,POU5F1B_extended (48g)
0.865428266,-1.161060866,-0.507650047,0.803282648,FOXO3 (59g)
0.117900664,-1.442883285,0.547604877,0.777377744,NRF1_extended (517g)
0.463656068,-1.463512143,0.232253633,0.767602442,KDM5A (72g)
0.966632182,-0.861064785,-0.864761969,0.759194572,TEAD1 (30g)
-0.464795565,1.498721942,-0.557557186,-0.476369192,HOXB13 (20g)
-0.381735296,1.494440922,-0.525794768,-0.586910858,CEBPA (25g)
-0.571524378,1.491933092,-0.35084387,-0.569564844,MYCN_extended (18g)
-0.564768806,1.491636627,-0.578573804,-0.348294017,ETV4_extended (152g)
-0.322331905,1.488324736,-0.5582782,-0.607714632,MSX2 (56g)
-0.517375254,1.482190984,-0.295327619,-0.669488112,ATF4 (52g)
-0.234442551,1.474883314,-0.605915548,-0.634525215,ZNF235 (14g)
-0.753552718,1.473734066,-0.381719574,-0.338461774,RAD21_extended (612g)
-0.830906208,1.45113859,-0.234460511,-0.385771871,MYC (692g)
-0.332743924,1.448305607,-0.848859365,-0.266702318,ISL1_extended (14g)
-0.057495329,1.432332793,-0.683675145,-0.69116232,HOXA7_extended (16g)
-0.859484623,1.414603437,-0.507890528,-0.047228286,PITX1 (27g)
0.025257554,1.404054255,-0.657526318,-0.771785491,HDAC2 (13g)
-0.944644498,1.389873006,-0.418555046,-0.026673463,YBX1_extended (1510g)
0.092689598,1.371598817,-0.594203929,-0.870084487,TBX19_extended (26g)
0.129225392,1.30950309,-0.377653375,-1.061075107,POLR2A (1075g)
-0.166281076,1.306984858,-1.124219486,-0.016484297,MITF (33g)
-1.130529655,1.305476061,-0.053327698,-0.121618707,FOXA2 (45g)
-1.096686517,1.301538594,0.100420932,-0.305273009,UBTF_extended (375g)
0.024177301,1.256546806,-1.188257328,-0.092466779,GATA3 (16g)
0.195739221,1.245654295,-1.151523812,-0.289869705,ALX1_extended (19g)
-1.174404406,1.241219146,0.163971984,-0.230786724,BCLAF1 (625g)
0.306246991,1.208166494,-1.144390421,-0.370023064,GATA6 (150g)
-1.177006509,1.148696768,0.398049839,-0.369740098,YY1 (341g)
-1.292494349,1.136196726,-0.036526567,0.19282419,HMGB3 (27g)
0.545068816,1.090265358,-1.115209104,-0.520125071,HNF1A_extended (11g)
-0.017932326,1.075820424,-1.329795232,0.271907135,POLE3 (163g)
-0.648571129,1.052239432,-1.035702732,0.632034429,HOXA10 (18g)
0.681671339,1.023185787,-0.984991986,-0.71986514,HNF4G (28g)
0.716853719,0.985327495,-1.033491308,-0.668689906,HOXB8 (137g)
0.469186874,0.949362527,-0.048807719,-1.369741682,NFE2L1_extended (15g)
0.801953244,0.858880087,-0.483997618,-1.176835713,CREB3_extended (148g)
0.645542518,0.821255748,-1.378792532,-0.088005734,NR2F6 (104g)
0.982987093,0.734153365,-0.959737264,-0.757403193,SMAD4 (23g)
0.913456152,0.709694596,-1.226679134,-0.396471615,SOX4 (130g)
0.997849853,0.668221367,-0.541591601,-1.124479619,ZBTB7B_extended (11g)
1.023659911,0.652847318,-0.592721008,-1.083786221,NPDC1 (21g)
0.939602608,0.640137585,-1.269234923,-0.31050527,HNF1B (398g)
1.152838815,0.479633395,-1.049079095,-0.583393114,NR2F2 (168g)
1.197358647,0.450757651,-0.774027436,-0.874088862,MAF_extended (85g)
1.224241984,0.409029608,-0.808320209,-0.824951383,GATA4 (17g)
0.875574873,0.397603433,-1.4318214,0.158643093,NFE2L2 (64g)
1.142642591,0.38766835,-1.197101863,-0.333209077,FOXA1 (565g)
1.018574312,0.348604963,-0.010391538,-1.356787738,HCFC1 (115g)
1.25064159,0.337616942,-0.968238184,-0.620020349,PITX2 (14g)
1.144906736,0.307409111,-1.245810474,-0.206505373,THRB (128g)
1.243913362,0.302183344,-1.061281992,-0.484814715,HOXD8_extended (14g)
1.208032053,0.225338273,-1.197624855,-0.235745471,ZNF251 (11g)
1.326271024,0.187330598,-0.930607429,-0.582994194,HNF4A (1185g)
1.340721888,0.183928961,-0.705956764,-0.818694085,GTF2F1 (47g)